centre,video_id,url,title,channel,published,duration_s,views,test_class,transcript,n_streets,n_turns,streets_found,traceable,flags
walkley,hGttTT76avc,https://youtube.com/watch?v=hGttTT76avc,How to Nail Perfect Right Turns (G2 &amp; G Test Tip!),Toronto Drivers,2025-07-21,25,219378,G,none,0,0,,,SHORT
walkley,afiC7_zMcwE,https://youtube.com/watch?v=afiC7_zMcwE,HOW TO FAIL YOUR DRIVING G2 TEST#dashcam#safety#carcrashes#short,Canadian Drivers ,2024-11-25,28,29616,G2,none,0,0,,,SHORT
walkley,pA6aQVyBcf4,https://youtube.com/watch?v=pA6aQVyBcf4,Test G2 en Ontario 100% en français – Regardez avant votre examen !,East Star Driving School,2025-09-13,1014,5019,G2,none,0,0,,,
walkley,ulyVih5VfsY,https://youtube.com/watch?v=ulyVih5VfsY,Driving Test Fail: Road Clearance Matters! Staying Clear on the Road #drivingfails #drivingtest,Learn Driving,2023-06-03,11,597092,G,auto,0,0,,,SHORT
walkley,rDDE_-6Lk1I,https://youtube.com/watch?v=rDDE_-6Lk1I,Drive test Line,401_da_sarpanch,2021-10-07,6,1460,unknown,none,0,0,,,SHORT CLASS?
walkley,10eaZnzidRw,https://youtube.com/watch?v=10eaZnzidRw,7 Tips For Passing Your G License Test In Ontario,Helpful DIY,2018-10-22,377,562790,G,none,0,0,,,
walkley,ovKZCRAXT0I,https://youtube.com/watch?v=ovKZCRAXT0I,G Test Tips,TL2DToday,2022-11-10,44,14987,G,none,0,0,,,SHORT
walkley,q1fyVD3s0-g,https://youtube.com/watch?v=q1fyVD3s0-g,Guy Failed driving test on Harley Bike #viral #trending #falls #funny,Finance Freedom Lifestyle FFL 24-7,2023-09-23,32,194628,G,none,0,0,,,SHORT
walkley,tAR5yhcJ7Zk,https://youtube.com/watch?v=tAR5yhcJ7Zk,G2 Road Test Ontario - How to Pass Driving Test - What to expect,AIAC Driving School Inc.,2025-10-25,14,21706,ambiguous,auto,0,0,,,SHORT CLASS?
walkley,89H6Yi396KY,https://youtube.com/watch?v=89H6Yi396KY,Mirror check &amp; shoulder check #class5 #roadtest #icbc,Top 457 | Vancouver Driving Instructor,2024-02-25,26,300394,unknown,none,0,0,,,SHORT CLASS?
walkley,4lEH0bpx2OI,https://youtube.com/watch?v=4lEH0bpx2OI,Spot The Fail! 🚗💨 #learntodrive #drivingtest #drivingfails,Driving School TV,2023-04-07,12,1893993,unknown,none,0,0,,,SHORT CLASS?
walkley,tlr4iOzm6ig,https://youtube.com/watch?v=tlr4iOzm6ig,FAILED DURING THE EMERGENCY STOP #driving #test #fail #safety #blindspot #safety,Clearview Driving,2023-06-06,15,23799157,unknown,none,0,0,,,SHORT CLASS?
